name,mean,std,revision_calls,big_model_calls
random_preds,0.459,0.34,647,584
small_model_preds,0.331,0.283,0,0
revision_model_preds,0.467,0.334,1809,0
big_llama_model_preds,0.568,0.337,0,1809
gold,0.633,0.317,539,530
16batch_size_10epochs_5e-05lr,0.484,0.336,542,508
16batch_size_3epochs_5e-05lr,0.492,0.335,575,487
16batch_size_5epochs_5e-05lr,0.493,0.335,520,566
32batch_size_3epochs_5e-05lr,0.495,0.335,579,528
32batch_size_5epochs_5e-05lr,0.497,0.336,523,599
64batch_size_3epochs_5e-05lr,0.473,0.337,495,467
64batch_size_5epochs_5e-05lr,0.489,0.332,529,514
8batch_size_10epochs_5e-05lr,0.494,0.334,566,536
8batch_size_3epochs_5e-05lr,0.49,0.335,608,503
8batch_size_5epochs_5e-05lr,0.496,0.337,574,545
