model_name,learning_rate,batch_size,num_epochs,weight_decay,lora_r,lora_alpha,lora_dropout,seed,accuracy,f1_micro,f1_macro,distance_from_gold,improvement_over_init,max_dist_gold_from_init,improvement_over_init_when_critic_is_needed,distance_from_gold_when_critic_is_needed,max_gold_from_init_when_critic_is_needed
google/gemma-2-2b-it,1e-06,2,5,0.1,8,16,0.1,42,0.1348364279398762,0.1348364279398762,0.13039997283507698,0.09906244627044156,-0.05519430822450557,0.043868138045935985,-0.02853715343687147,0.08504611030470018,0.056508956867828704
google/gemma-2-2b-it,3e-06,2,5,0.01,8,16,0.1,42,0.17152961980548187,0.17152961980548187,0.1582772142868116,0.0897938479608003,-0.04592570991486432,0.043868138045935985,-0.02220764172036959,0.0787165985881983,0.056508956867828704
google/gemma-2-2b-it,1e-06,2,5,0.01,8,16,0.1,42,0.13351016799292661,0.13351016799292661,0.12932046306242717,0.09987685831468558,-0.056008720268749604,0.043868138045935985,-0.02943436160028833,0.08594331846811702,0.056508956867828704
google/gemma-2-2b-it,3e-06,2,5,0.1,8,16,0.1,42,0.16666666666666666,0.16666666666666666,0.15546790408136563,0.08948353498154302,-0.04561539693560703,0.043868138045935985,-0.022016923981189637,0.07852588084901833,0.056508956867828704
google/gemma-2-2b-it,1e-05,2,5,0.1,8,16,0.1,42,0.21264367816091953,0.21264367816091953,0.15598151754638087,0.05727888235786583,-0.01341074431192984,0.043868138045935985,-0.004076057259923691,0.0605850141277524,0.056508956867828704
google/gemma-2-2b-it,3e-05,2,5,0.01,8,16,0.1,42,0.22325375773651635,0.22325375773651635,0.1322033040426035,0.04846097048269681,-0.004592832436760831,0.043868138045935985,-0.0011017499278775634,0.057610706795706255,0.056508956867828704
google/gemma-2-2b-it,3e-05,2,5,0.1,8,16,0.1,42,0.23165340406719717,0.23165340406719717,0.13886845880834303,0.04745482986797533,-0.0035866918220393462,0.043868138045935985,-0.00012736530549715253,0.056636322173325856,0.056508956867828704
google/gemma-2-2b-it,0.0001,2,5,0.1,8,16,0.1,42,0.23165340406719717,0.23165340406719717,0.08709221429352655,0.0439544043168909,-8.626627095490718e-05,0.043868138045935985,0.0006702330199886102,0.0558387238478401,0.056508956867828704
google/gemma-2-2b-it,0.0001,2,5,0.01,8,16,0.1,42,0.22811671087533156,0.22811671087533156,0.0814715139930393,0.044574748227435984,-0.0007066101815,0.043868138045935985,-0.0001619297850529614,0.05667088665288166,0.056508956867828704
google/gemma-2-2b-it,1e-05,2,5,0.01,8,16,0.1,42,0.21662245800176835,0.21662245800176835,0.15665162969576174,0.058919330875760664,-0.01505119282982467,0.043868138045935985,-0.0068127014973041015,0.0633216583651328,0.056508956867828704
