model_name,learning_rate,batch_size,num_epochs,weight_decay,lora_r,lora_alpha,lora_dropout,seed,accuracy,f1_micro,f1_macro,distance_from_gold,improvement_over_init,max_dist_gold_from_init,improvement_over_init_when_critic_is_needed,distance_from_gold_when_critic_is_needed,max_gold_from_init_when_critic_is_needed
google/gemma-2-2b-it,3e-06,2,5,0.1,8,16,0.1,42,0.21750663129973474,0.21750663129973474,0.13921814234677518,0.07152729362841617,-0.027659155582480194,0.043868138045935985,-0.015577062206684684,0.07517449659701934,0.05959743439033466
google/gemma-2-2b-it,1e-05,2,5,0.01,8,16,0.1,42,0.24447391688771,0.24447391688771,0.1261540383243884,0.054425002712016,-0.010556864666080018,0.043868138045935985,-0.006803141521285286,0.06640057591161995,0.05959743439033466
google/gemma-2-2b-it,1e-06,2,5,0.1,8,16,0.1,42,0.1874447391688771,0.1874447391688771,0.14453050009750448,0.08553965471560032,-0.04167151666966432,0.043868138045935985,-0.020962573416385227,0.08056000780671987,0.05959743439033466
google/gemma-2-2b-it,1e-05,2,5,0.1,8,16,0.1,42,0.2458001768346596,0.2458001768346596,0.12938681904923907,0.05442302498634403,-0.010554886940408046,0.043868138045935985,-0.006146964971105106,0.06574439936143976,0.05959743439033466
google/gemma-2-2b-it,3e-06,2,5,0.01,8,16,0.1,42,0.22236958443854996,0.22236958443854996,0.15343668264956062,0.07521617983170831,-0.03134804178577232,0.043868138045935985,-0.017904128588396396,0.07750156297873105,0.05959743439033466
google/gemma-2-2b-it,3e-05,2,5,0.01,8,16,0.1,42,0.2493368700265252,0.2493368700265252,0.1450099667018986,0.05652556538893908,-0.012657427343003095,0.043868138045935985,-0.006616387563393393,0.06621382195372805,0.05959743439033466
google/gemma-2-2b-it,1e-06,2,5,0.01,8,16,0.1,42,0.1931918656056587,0.1931918656056587,0.14854520907113103,0.08410500822035716,-0.04023687017442117,0.043868138045935985,-0.019716515155724566,0.07931394954605923,0.05959743439033466
google/gemma-2-2b-it,0.0001,2,5,0.01,8,16,0.1,42,0.23474801061007958,0.23474801061007958,0.18771325841546949,0.0726107610159772,-0.028742622970041196,0.043868138045935985,-0.014056408081255856,0.07365384247159051,0.05959743439033466
google/gemma-2-2b-it,0.0001,2,5,0.1,8,16,0.1,42,0.22811671087533156,0.22811671087533156,0.18502146178753143,0.07279902423943499,-0.028930886193499004,0.043868138045935985,-0.01511627628847541,0.07471371067881007,0.05959743439033466
google/gemma-2-2b-it,3e-05,2,5,0.1,8,16,0.1,42,0.2493368700265252,0.2493368700265252,0.14363447260840123,0.056482629176251194,-0.012614491130315209,0.043868138045935985,-0.008189276300690692,0.06778671069102535,0.05959743439033466
